TARGET,TARGET_START,TARGET_STOP,TARGET_TEXT,SOURCE,SOURCE_START,SOURCE_STOP,SOURCE_TEXT,TYPE,AUTH,ADDED_BY,NOTE
lucan.bellum_civile,1_21,1_21,1.21 si tantus amor belli tibi Roma nefandi,vergil.aeneid,12_572,12_572,12.572 belli . . . nefandi,5,R,,destruction of Rome via civil war= Aen. before burning Pallanteum saying it was the seat of the foul war
lucan.bellum_civile,1_25,1_25,1.25-6 ingentia . . . / saxa,vergil.aeneid,6_616,6_616,6.616 saxum ingens,3,R,,ingentia saxa of Rome's walls = punishment of rolling a huge stone uphill in the underworld
lucan.bellum_civile,1_25,1_25,1.25-6 ingentia . . . / saxa,vergil.aeneid,10_127,10_127,10.127 ingens . . . saxum,3,R,,"acc. to Harrison ""archetypal epic epithet"""
lucan.bellum_civile,1_25,1_25,1.25-6 ingentia . . . / saxa,vergil.aeneid,12_531,12_531,12.531 ingentis . . . saxi,3,R,,ingentia saxa of Rome's walls = Aeneas kills Murranus with a large stone
lucan.bellum_civile,1_25,1_25,1.25-6 ingentia . . . / saxa,vergil.aeneid,12_896,12_896,12.896-7 saxum . . . ingens,3,R,,"Aeneas throws an ingens saxum, which is a boundry marker, at Turnus = the ingentia saxa of Rome's walls fall"
lucan.bellum_civile,1_28,1_28,1.28 horrida . . . dumis,vergil.aeneid,9_381,9_381,9.381-2 dumis . . . / horrida,5,R,,"Rome abandoned after losses of civil war = woods where Euryalus dies that will become a known region of Italy, loci Albani"
lucan.bellum_civile,1_45,1_45,1.45 cum statione peracta,vergil.aeneid,9_222,9_222,9.222 statione relicta,3,R,,Nero leaving the Earth and being catastorized= Euryalus leaving his post with Nisus to talk to Aeneas
lucan.bellum_civile,1_47,1_47,1.47 sceptra tenere,vergil.aeneid,1_57,1_57,1.57 sceptra tenens,3,R,,Nero = Aeolus
lucan.bellum_civile,1_56,1_56,1.56 aetheris immensi,vergil.aeneid,10_356,10_356,10.356 magno . . . aethere,3,R,,space Nero is in is a magnification of the normal epic magnum aether
lucan.bellum_civile,1_56,1_56,1.56 aetheris immensi,vergil.aeneid,10_459,10_459,10.459 magnumque ita ad aethera,3,R,,space Nero is in is a magnification of the normal epic magnum aether
lucan.bellum_civile,1_62,1_62,1.62 ferrea belligeri,vergil.aeneid,7_622,7_622,7.623 belli ferratos,5,R,,
lucan.bellum_civile,1_63,1_63,1.63-4 pectore . . . / accipio,vergil.aeneid,4_530,4_530,4.530-1 pectore . . . / accipit,4,R,,poet accepting inspriation = Dido not able to take sleep (in her heart)
lucan.bellum_civile,1_63,1_63,1.63-4 pectore . . . / accipio,vergil.aeneid,9_276,9_276,9.276-7 pectore . . . / accipio,4,R,,poet accepting inspriation = Ascanius taking on Euryalus as his own
lucan.bellum_civile,1_80,1_80,1.80 turbabit foedera,vergil.aeneid,12_633,12_633,12.633 foedera turbasti,5,R,,"destruction of the world = Turnus recognizes havoc Juturna has caused ""civil war context that underscores the dissolution of an established order"""
lucan.bellum_civile,1_83,1_83,1.83 terrae pelagique potentem,vergil.aeneid,3_528,3_528,3.528 di maris et terrae tempestatumque potentes,3,R,,area Rome rules = area gods rule in Anchises' prayer
lucan.bellum_civile,1_84,1_84,1.84 causa malorum,vergil.aeneid,4_169,4_169,4.169-70 malorum / causa,3,R,,Rome was the cause of evils as the day of Dido and Aeneas was the cause of evils
lucan.bellum_civile,1_84,1_84,1.84 causa malorum,vergil.aeneid,7_481,7_481,7.481-2 laborum / causa,3,R,,Rome was the cause of evils as the hunting of Silvia's stag is the cause of works
lucan.bellum_civile,1_84,1_84,1.84 causa malorum,vergil.aeneid,12_600,12_600,12.600 causa malorum,3,R,,Rome was the cause of evils as Amata is the cause of evils
lucan.bellum_civile,1_87,1_87,1.87 nimiaque cupidine,vergil.aeneid,9_354,9_354,9.354 sensit enim nimia caede atque cupidine ferri,4,R,,triumvirate is blinded by excessive desire = Nisus trying to check the uncontrolled rage of Euryalus
lucan.bellum_civile,1_100,1_100,1.100 belli . . . mora,vergil.aeneid,10_427,10_427,10.427-8 belli . . . / . . . moramque,3,R,,Crassus is delay for war = Abas (killed by Lasus) as delay
lucan.bellum_civile,1_103,1_103,1.103-4 saeua / arma,vergil.aeneid,1_295,1_295,1.295 saeua . . . arma,5,R,,Crassus keeping arms of Caesar and Pompey apart =Rage is closed within gates of war in Jupiter's prophecy
lucan.bellum_civile,1_103,1_103,1.103-4 saeua / arma,vergil.aeneid,8_482,8_482,8.482 saeuis . . . armis,3,R,,epic collocation: weapons of Caesar and Pompey = those of Mezentius
lucan.bellum_civile,1_103,1_103,1.103-4 saeua / arma,vergil.aeneid,9_651,9_651,9.651 saeua . . . arma,3,R,,epic collocation: weapons of Caesar and Pompey = Apollo to Iulus
lucan.bellum_civile,1_103,1_103,1.103-4 saeua / arma,vergil.aeneid,12_890,12_890,12.890 saeuis . . . armis,3,R,,Crassus keeping arms of Caesar and Pompey apart = Aeneas saying he and Turnus must fight
lucan.bellum_civile,1_109,1_109,1.109 diuiditur ferro,vergil.aeneid,9_750,9_750,9.750-1 ferro . . . / diuidit,4,R,,power of tyrant's is divided by the sword = Turnus cutting off Pandarus' head
lucan.bellum_civile,1_112,1_112,1.112 ferales omine taedas,vergil.aeneid,7_71,7_71,7.71 castis . . . Taedis,4,R,,play on ambiguity between funeral torches and marriage torches (Julia = Lavinia on fire)
lucan.bellum_civile,1_112,1_112,1.112 ferales omine taedas,vergil.aeneid,7_322,7_322,7.322 funestaeque . . . taedae,4,R,,play on ambiguity between funeral torches and marriage torches (Julia = Paris)
lucan.bellum_civile,1_114,1_114,1.114 quod si tibi fata dedissent,vergil.aeneid,3_337,3_337,3.337 quae fata dedere?,4,R,,standard phrasing (Andromache asks of what fate pushes Aeneas = fate taking Julia)
lucan.bellum_civile,1_114,1_114,1.114 quod si tibi fata dedissent,vergil.aeneid,4_225,4_225,4.225 fatisque datas . . . urbes,4,R,,fate that took Julia = Aeneas in Carthage although other fate given to him
lucan.bellum_civile,1_129,1_129,1.129 nec coiere pares,vergil.aeneid,1_475,1_475,1.475 infelix puer atque impar congressus Achilli,4,R,,epic motif of ill-matched pair (Caesar and Pompey = Trolius and Achilles)
lucan.bellum_civile,1_134,1_134,1.134 nouas uires,vergil.aeneid,12_424,12_424,12.424 nouae . . . Uires,4,R,,Pompey doesn't supply fresh powers = Aeneas is restored and completes Aeneid
lucan.bellum_civile,1_135,1_135,1.135 stat magni nominis umbra ,vergil.aeneid,7_412,7_412,7.412 magnum nomen ,5,R,,Pomepy's great name = great name of Ardea (Turnus' city)
lucan.bellum_civile,1_136,1_136,1.136 quercus sublimis,vergil.aeneid,3_680,3_680,3.680 aeriae quercus,5,R,,Pompey as oak tree = Cyclopes as oak tress
lucan.bellum_civile,1_136,1_136,1.136 quercus sublimis,vergil.aeneid,9_681,9_681,9.681-2 quercus . . . sublimi uertice,5,R,,Pompey is an old oak as Pandarus/Bitias are young oaks
lucan.bellum_civile,1_137,1_137,137 quercus exuuias sacrataque gestans / dona ducum,vergil.aeneid,10_423,10_423,10.421-3 haec arma exuuiasque uiri tua quercus habebit,4,R,,
lucan.bellum_civile,1_138,1_138,1.138-40 haerens // . . . frondibus,vergil.aeneid,4_445,4_445,4.445 frondes / haeret,5,R,,Pompey's weak roots = Aeneas' vigorous roots
lucan.bellum_civile,1_138,1_138,1.138 dona ducum,vergil.aeneid,11_6,11_6,11.6 consituit . . . arma,4,R,,archaic practice of adorning trees with spoils
lucan.bellum_civile,1_139,1_139,1.139 per aera ,vergil.aeneid,1_300,1_300,1.300 per aera,3,R,,always in this metrical sedes
lucan.bellum_civile,1_139,1_139,1.139 per aera,vergil.aeneid,6_202,6_202,6.202 per aera,3,R,,always in this metrical sedes
lucan.bellum_civile,1_140,1_140,1.140 frondibus ,vergil.aeneid,4_441,4_441,4.441 quercum / frondes ,5,R,,Pompey as oak = Aeneas as oak
lucan.bellum_civile,1_141,1_141,1.141 nutet casura ,vergil.aeneid,2_629,2_629,2.629 vertice nutat ,5,R,,Pompey as oak tree nods = Troy as ash tree nods
lucan.bellum_civile,1_147,1_147,1.147 ferre manum,vergil.aeneid,5_403,5_403,5.403 ferre manum,3,R,,"Caesar always ready for competition as was Eryx, teacher of Entellus"
lucan.bellum_civile,1_152,1_152,1.152 aetheris inpulsi sonitu,vergil.aeneid,8_524,8_524,8.524-6 namque . . . ab aethere fulgor / cum sonitu . . .,3,R,,Juturna's simile = Caesar's simile
lucan.bellum_civile,1_157,1_157,1.157 dat stragem,vergil.aeneid,12_454,12_454,12.454 dabit . . ./ stragemque,5,R,,Caesar's destructive capabilites = the breaking of a storm
lucan.bellum_civile,1_178,1_178,1.178 rapti fasces pretio ,vergil.aeneid,6_622,6_622,6.622 fixit leges pretio atque refixit ,5,R,,pretio as bribery; Roman leaders taking bribes = those punished in Tartarus for taking bribes
lucan.bellum_civile,1_183,1_183,1.183 iam . . . Ceasar cursu superauerat Alpes,vergil.aeneid,2_303,2_303,2.303 ascensu supero ,3,R,,Caesar crosses the Alps = Aeneas climbs to the top of a house and sees the destruction of the Greeks
lucan.bellum_civile,1_183,1_183,1.183 iam . . . Ceasar cursu superauerat Alpes,vergil.aeneid,6_676,6_676,6.676 hoc superate ,3,R,,Aeneas surmounts a mountain to get to Elysium = Caesar crosses the Alps
lucan.bellum_civile,1_183,1_183,1.183 iam . . . Ceasar cursu superauerat Alpes,vergil.aeneid,11_514,11_514,11.514 superans adventat,3,R,,Caesar crosses the Alps = Turnus tells Camilla there are reports of Aeneas crossing a mountain on his way to attack
lucan.bellum_civile,1_184,1_184,1.184 motus . . . /ceperat,vergil.aeneid,4_297,4_297,4.297 excepit,3,R,,foresight of Caesar = foresight of Dido
lucan.bellum_civile,1_185,1_185,1.185 uentum est,vergil.aeneid,6_45,6_45,6.45 uentum erat ,2,R,,
lucan.bellum_civile,1_185,1_185,1.185 uentum est,vergil.aeneid,10_710,10_710,10.710 uentum est,2,R,,
lucan.bellum_civile,1_185,1_185,1.185 uentum est,vergil.aeneid,12_739,12_739,12.739 ventumst,2,R,,
lucan.bellum_civile,1_186,1_186,1.186 ingens visa duci patriae trepidantis imago,vergil.aeneid,2_772,2_772,2.772-3 infelix simulacrum atque ipsius umbra Creusae / visa mihi ante oculos et nota maior imago,3,R,,
lucan.bellum_civile,1_186,1_186,1.186 imago ,vergil.aeneid,5_636,5_636,5.636 nam mihi Cassandrae per somnum vatis imago,3,R,,vision of Rome = vision of Cassandra
lucan.bellum_civile,1_186,1_186,1.186 visa . . . patriae . . . imago,vergil.aeneid,5_722,5_722,5.722 visa . . . facies . . . Parentis,4,R,,imago of Rome = imago of Anchises
lucan.bellum_civile,1_188,1_188,1.188 effundens crines / caerie lacera nudisque lacertis,vergil.aeneid,2_277,2_277,2.277 squalentem barbam et concretos sanguine crintis/ uulneraque illa gerens,5,R,,image of Rome = adaptation of Hector's dishevelled state
lucan.bellum_civile,1_190,1_190,1.190 gemitu permixta loqui,vergil.aeneid,2_288,2_288,2.288 sed grauiter gemitus imo de pectore ducens ,5,R,,Rome's speech recalls Hector's moan
lucan.bellum_civile,1_190,1_190,1.190 quo tenditis ,vergil.aeneid,9_781,9_781,9.781 quo tenditis ,5,R,,Rome's speech is an inversion of Mnestheus'
lucan.bellum_civile,1_192,1_192,1.192 perculit horror / membra ducis ,vergil.aeneid,3_30,3_30,3.30 horror / membra ,3,R,,standard response to supernatural visitation
lucan.bellum_civile,1_193,1_193,1.193 riguere comae,vergil.aeneid,4_280,4_280,4.280 horrore comae,3,R,,standard response to supernatural visitation
lucan.bellum_civile,1_193,1_193,1.193 gressum que coercens ,vergil.aeneid,6_389,6_389,6.389 comprime gressum,3,R,,Caesar is stopped by the vision of Rome as Charon stops Aeneas at the river Styx
lucan.bellum_civile,1_193,1_193,1.193 riguere comae,vergil.aeneid,12_868,12_868,12.868 horrore comae,3,R,,standard response to supernatural visitation
lucan.bellum_civile,1_194,1_194,1.194 tenuit uestigia ,vergil.aeneid,5_332,5_332,5.332 vestigia tenuit,3,R,,Caesar halts as Euryalus halts Salius so Nisus can win the foot race
lucan.bellum_civile,1_196,1_196,1.196 Phrygiique penates ,vergil.aeneid,3_148,3_148,3.148 Phrygiique Penates,5,R,,Caesar addresses the Penates who appeared to Aeneas
lucan.bellum_civile,1_200,1_200,1.200 Roma fave coeptis,vergil.aeneid,10_461,10_461,10.461 te precor Alcide coeptis ingentibus adsis,3,R,,Caesar asks for favor as Pallas does
lucan.bellum_civile,1_201,1_201,1.201 en adsum,vergil.aeneid,7_452,7_452,7.452-4 en . . . / . . . / adsum,3,R,,Caesar opens his speech as Allecto does (epiphany)
lucan.bellum_civile,1_205,1_205,leo,vergil.aeneid,9_792,9_792,leonem,5,R,,Caesar heads into war as a lion as a crowd surrounds Turnus as hunters do a lion
lucan.bellum_civile,1_207,1_207,1.207 subsedit dubius ,vergil.aeneid,9_792,9_792,9.792 ceu saeuum turba leonem / cum telis premit infensis . . . / retro redit haud aliter retro dubius uestigia Turnus,3,R,,hesitation in the face of aggression
lucan.bellum_civile,1_210,1_210,1.210 et uasto graue murmur hiatu / infremuit,vergil.aeneid,1_296,1_296,1.296 fremet horridus ore cruento,3,R,,lion = furor
lucan.bellum_civile,1_215,1_215,1.215 perque imas . . . ualles ,vergil.aeneid,7_801,7_801,7.801 per imas/ . . . uallis ,3,R,,route of rivers
lucan.bellum_civile,1_224,1_224,1.224 Hesperiae . . . aruis,vergil.aeneid,4_355,4_355,4.355 Hesperiae . . . aruis,5,R,,Aeneas tells Dido he cannot deny Ascanius his Hesperian kingdom = Caesar crosses the Rubicon and reaches the Hersperian land
lucan.bellum_civile,1_226,1_226,1.226 procul hinc iam foedera sunto ,vergil.aeneid,4_624,4_624,4.624 foedera sunto ,5,R,,Caesar leaves peace behind = Dido's prayer for war between Rome and Carthage
lucan.bellum_civile,1_228,1_228,1.228 sic fatus,vergil.aeneid,10_535,10_535,10.35 sic fatus,2,R,,
lucan.bellum_civile,1_233,1_233,1.233 iamque dies . . . / exoritur ,vergil.aeneid,3_588,3_588,3.588 iamque dies . . . surgebat ,3,R,,day begins
lucan.bellum_civile,1_233,1_233,1.233 iamque dies primos belli visura tumultus,vergil.aeneid,4_169,4_169,4.169 f. ille dies primus leti primusque malorum / causa fuit,5,R,,Arminum is first day of evil as is the coupling of Aeneas and Dido
lucan.bellum_civile,1_235,1_235,1.235 meastam tenuerunt nubila lucem ,vergil.aeneid,7_527,7_527,7.527 lucem sub nubila ,3,R,,clouds hide light in Lucan = light on clouds on Virgil
lucan.bellum_civile,1_237,1_237,1.237 clangorque tubarum ,vergil.aeneid,2_313,2_313,2.313 clangorque tumbarum ,5,R,,sounds of war
lucan.bellum_civile,1_237,1_237,1.237 clangorque tubarum,vergil.aeneid,11_192,11_192,11.192 clangorque tubarum ,4,R,,sounds of war
lucan.bellum_civile,1_245,1_245,1.245 celsus medio conspectus in agmine Caesar ,vergil.aeneid,8_587,8_587,8.587 ipse agmine Pallas / it medio chlamyde et pictis conspectus in armis,4,R,,Caesar on horseback = Pallas
lucan.bellum_civile,1_246,1_246,1.246 gelidos pauor occupat artus ,vergil.aeneid,11_424,11_424,11.424 occupat artus ,3,R,,fear before battle; Virgilian line ending
lucan.bellum_civile,1_247,1_247,1.247 uoluunt in pectore ,vergil.aeneid,7_254,7_254,7.254 uoluit sub pectore ,3,R,,phrase for thinking over something (troops = Latinus)
lucan.bellum_civile,1_252,1_252,1.252 orbe sub Eoo sedem gelidaque sub Arcto,vergil.aeneid,6_16,6_16,6.16 insuetum per iter gelidas enavit ad Arctos,3,R,,cold North
lucan.bellum_civile,1_256,1_256,1.256 hac iter est bellis ,vergil.aeneid,6_542,6_542,6.542 hac iter Elysium nobis ,4,R,,way of war vs. way to Elysium
lucan.bellum_civile,1_256,1_256,1.256 hac iter est bellis ,vergil.aeneid,9_321,9_321,9.321 hac iter est,3,R,,opportunity for battle
lucan.bellum_civile,1_259,1_259,1.259-61 quantum . . . / mediusque . . . / tanta quies,vergil.aeneid,4_522,4_522,4.522-7 nox erat . . . sub nocte silenti,3,R,,contrast of calm night with anxious Dido = quiet of nature which is a simile for the soldier's inner turmoil with outward quiet
lucan.bellum_civile,1_263,1_263,1.263 addunt stimulos ,vergil.aeneid,9_717,9_717,9.717 addidit stimulos ,4,R,,Caesar goads men to battle as Mars does
lucan.bellum_civile,1_264,1_264,1.264 rumpunt moras,vergil.aeneid,4_569,4_569,4.569 rumpe moras,3,R,,people silent as birds = silent birds
lucan.bellum_civile,1_272,1_272,1.272 uoluentem pectore curas,vergil.aeneid,1_227,1_227,1.227 iactantem pectore curas ,3,R,,phrase for thinking over something (Caesar = Jupiter)
lucan.bellum_civile,1_272,1_272,1.272 uoluentem pectore curas,vergil.aeneid,5_701,5_701,5.701 illuc pectore curas ,3,R,,phrase for thinking over something (Caesar = Aeneas)
lucan.bellum_civile,1_272,1_272,1.272 uoluentem pectore curas,vergil.aeneid,7_254,7_254,7.254 volvit sub pectore,3,R,,phrase for thinking over something (Caesar = Latinus)
lucan.bellum_civile,1_280,1_280,1.280 dum trepidant ,vergil.aeneid,4_121,4_121,4.121 dum trepidant ,3,R,,Curio tells men to act while they hesitate = Juno says that while the hunters hesitate she will get Aeneas and Dido together
lucan.bellum_civile,1_280,1_280,1.280 dum trepidant ,vergil.aeneid,9_418,9_418,9.418 dum trepidant ,3,R,,"Curio tells the men that while they hesitate they should attack because in the Aeneid while they hesitate, Tagus gets killed"
lucan.bellum_civile,1_286,1_286,1.286 nunc neque te longi remeantem pompa triumphi / excipit,vergil.aeneid,2_95,2_95,2.95 si patrios umquam remeassem victor ad Argos,4,R,,Sinon's not-going-to-happen triumphal return = Curio's reminder that the men will not get a triumph when they return
lucan.bellum_civile,1_286,1_286,1.286-7 pompa triumphi / excipit sacras poscunt Capitolia laurus,vergil.aeneid,6_836,6_836,6.836 ille triumphata Capitolia ad alta Corintho,3,R,,Curio reminds the troops that they will not receive a triumph upon returning home = Lucius Mummius received a triumph; Capitolia is plural for metrical reasons
lucan.bellum_civile,1_286,1_286,1.286 nunc neque te longi remeantem pompa triumphi / excipit,vergil.aeneid,11_793,11_793,11.793 patrias remeabo inglorius urbes,4,R,,Arruns prays that he not return home inglorius = Curio's reminder that the men will return home without receiving a triumph
lucan.bellum_civile,1_287,1_287,1.287 sacras poscunt Capitolia laurus,vergil.aeneid,3_81,3_81,3.81 vittis et sacra redimitus tempora lauro,3,R,,common collocation
lucan.bellum_civile,1_287,1_287,1.287 sacras poscunt Capitolia laurus,vergil.aeneid,7_59,7_59,7.59-60 laurus erit . . . / sacra . . .,3,R,,common collocation
lucan.bellum_civile,1_290,1_290,1.290 decertum genero est,vergil.aeneid,6_831,6_831,6.831 descendens gener ,5,R,,terms of kinship which evoke civil war
lucan.bellum_civile,1_294,1_294,1.294 carcere clauso ,vergil.aeneid,1_141,1_141,1.141 clauso . . . carcere,3,R,,Caesar as racehorse against closed gate = winds against closed gate
lucan.bellum_civile,1_297,1_297,1.297 trepidum tumultum,vergil.aeneid,8_4,8_4,8.4-5 simul omne tumultu / coniurat trepido Latium,4,R,,"Caesar assembles his men = Turnus assembles his men (in both cases the men are troubled, but quieted)"
lucan.bellum_civile,1_301,1_301,1.301 cruor . . . diffusus in aruise ,vergil.aeneid,10_908,10_908,10.908 diffundit in arva cruore,3,R,,Caesar's soldiers' blood poured out on fields = Mezentius' blood poured out on fields
lucan.bellum_civile,1_303,1_303,1.303 ingenti bellorum . . . tumultu ,vergil.aeneid,11_447,11_447,11.447 ingenti . . . tumultu ,5,R,,tumult of war
lucan.bellum_civile,1_303,1_303,1.303 ingenti bellorum . . . tumultu ,vergil.aeneid,11_897,11_897,11.897 ingentem . . . tumultum,3,R,,tumult of war
lucan.bellum_civile,1_308,1_308,1.308 Marte . . . adverso ,vergil.aeneid,12_1,12_1,12.1 adverso Marte ,3,R,,Caesar's hypothetical marte adverso as Turnus sees Latians' real marte adverso
lucan.bellum_civile,1_311,1_311,1.311 longa . . . pace ,vergil.aeneid,7_46,7_46,7.47 longa . . . pace,5,R,,
lucan.bellum_civile,1_325,1_325,1.325 suetus ciuilibus armis,vergil.aeneid,5_414,5_414,5.414 arma . . . // . . . suetus,2,R,,
lucan.bellum_civile,1_328,1_328,1.328 matrum . . . lustra,vergil.aeneid,3_646,3_646,3.646-7 ferarum / lustra,4,R,,wild animals emerging from lairs
lucan.bellum_civile,1_331,1_331,1.331-2 semel . . . / . . . fauces ,vergil.aeneid,9_63,9_63,9.63 collecta . . . / . . . fauces ,4,R,,Pompey as tiger = Turnus as wolf
lucan.bellum_civile,1_355,1_355,1.355 diro ferri reuocantur amore ,vergil.aeneid,6_721,6_721,6.721 lucis . . . cupido ,3,R,,fury of Caesar's troops = fury of souls at Lethe
lucan.bellum_civile,1_358,1_358,1.358 seruati ciuis referentem praemia quercum,vergil.aeneid,6_772,6_772,6.772 civili . . . quercu,3,R,,Laelius' reward for saving a fellow Roman = young men rewarded in underworld lineup
lucan.bellum_civile,1_359,1_359,1.359-60 Romani maxime rector / nominis ,vergil.aeneid,8_572,8_572,8.572 maxume rector / Iuppiter ,4,R,,Caesar the maximus rector = Jupiter the maximus rector
lucan.bellum_civile,1_359,1_359,1.360 ueras expromere uoces,vergil.aeneid,2_279,2_279,2.279-80 uirum . . . expromere uoces,4,R,,
lucan.bellum_civile,1_363,1_363,1.363 dum mouet haec calidus spirantia corpora sanguis,vergil.aeneid,4_336,4_336,4.336 dum memor ipse mei dum spiritus hos regit artus,5,R,,Laelius addressees Caesar as Aeneas addresses Dido
lucan.bellum_civile,1_363,1_363,1.363 calidus . . . sanguis ,vergil.aeneid,5_395,5_395,5.395 gelidus . . . / sanguis ,4,R,,"Laelius says the troops have warm blood as Virgil's Entellus, an old man, has cold"
lucan.bellum_civile,1_363,1_363,1.363 calidus . . . sanguis ,vergil.aeneid,9_422,9_422,9.422 calido . . . sanguine ,4,R,,Laelius says the troops have warm blood as Volcens attacks Euryalus in warm blood
lucan.bellum_civile,1_367,1_367,1.367 duc age,vergil.aeneid,6_343,6_343,6.343 dic age ,2,R,,
lucan.bellum_civile,1_369,1_369,1.369 post terga relinqueret ,vergil.aeneid,2_57,2_57,2.57 post terga reuinctum ,2,R,,collocation of behind the back
lucan.bellum_civile,1_376,1_376,1.376-7 pectore . . . gladium . . . / condere ,vergil.aeneid,9_347,9_347,9.347 pectore in aduerso . . . ensem,5,R,,Laelius says he will kill his brother as Euryalus is killed
lucan.bellum_civile,1_376,1_376,1.376-7 pectore . . . gladium . . . / condere ,vergil.aeneid,12_950,12_950,12.950 ferrum adverso sub pectore condit,5,R,,Laelius says he will kill his brother as Aeneas kills Turnus
lucan.bellum_civile,1_381,1_381,1.381 Tusci . . . Thybridis ,vergil.aeneid,2_781,2_781,2.781 Lydius Thybris ,3,R,,fusion of Tuscus Tiberis (G. 1.499) and Lydius Thybris (A. 2.781)
lucan.bellum_civile,1_385,1_385,1.385 quam . . . Urbem,vergil.aeneid,1_573,1_573,1.573 urbem quam ,3,R,,Laelius is willing to even destroy Rome = Dido claims she is building a city for Aeneas
lucan.bellum_civile,1_388,1_388,1.388 it . . . clamor ,vergil.aeneid,4_665,4_665,4.665 it clamor ,4,R,,frequent phrase in negative context
lucan.bellum_civile,1_388,1_388,1.388 it . . . clamor ,vergil.aeneid,5_451,5_451,5.451 it clamor,4,R,,frequent phrase in negative context
lucan.bellum_civile,1_388,1_388,1.388 it . . . clamor ,vergil.aeneid,8_595,8_595,8.595 it clamor,4,R,,frequent phrase in negative context
